iter,kappa_roc,kappa_prc
1,0.06497108087976877,0.1534904642524541
2,0.06349025435165823,0.16037967605651138
3,0.06752945047992132,0.19649072444604854
4,0.0653720125198003,0.21510713663164877
5,0.0698561752214677,0.19908779768593576
6,0.06997005119568755,0.13066144254250378
7,0.06716910102178719,0.16734886320475933
8,0.06882717092272816,0.3379641614412212
9,0.06369604349571723,0.0909133065652554
10,0.07380655226001331,0.18822448342392611
11,0.06931815971046329,0.1691501557413625
12,0.06841389047848967,0.16121243803097457
13,0.06449929934797805,0.14710180382834276
14,0.07104512599825097,0.2090874571539969
15,0.07123891567474216,0.22261162820953811
16,0.07143520065900022,0.24881725343914274
17,0.06858717540796033,0.1589570412843116
18,0.059478089511396215,0.249879583795642
19,0.06936829360694152,0.1899026807105103
20,0.07031931949164294,0.18172484710989312
21,0.0665731754303367,0.19702093545531563
22,0.06772531900386403,0.17386160210204898
23,0.06618189001111885,0.2621055579228784
24,0.06649443271018707,0.2360380144786628
25,0.06706028363295857,0.16721725056161285
26,0.06539457139487381,0.12788336760566466
27,0.06716888461505288,0.1307350336957438
28,0.06783230548231756,0.139636837728634
29,0.0670836125592702,0.14629139617764786
30,0.0669147685942959,0.21949744104876528
31,0.06684330243799907,0.2751374001475333
32,0.0645694165983961,0.18210639950794394
33,0.06239259251765583,0.16401258204083008
34,0.06684308536862837,0.17955880778398903
35,0.07085098460162875,0.1678914421462565
36,0.06841266468276408,0.22184326884351147
37,0.06643826348325277,0.25630507492865706
38,0.07194861814547382,0.16117418484154372
39,0.06583687555891582,0.202700835223805
40,0.06319914015372641,0.16651907888958978
41,0.06475262603410625,0.16843723749277262
42,0.06420906591866116,0.256504698617147
43,0.06774735588657266,0.22051630570595687
44,0.06993349210127464,0.15647055923844744
45,0.0688868302847856,0.1966018679173414
46,0.07107842093939376,0.15868656340076204
47,0.0675305827044912,0.16599386653824777
48,0.0684017618603956,0.2551893991703632
49,0.07499426959386057,0.3688646934710462
50,0.06502497313765154,0.1606208011218052
51,0.06222227411725845,0.19953144019196456
52,0.06170916880370947,0.1515460580897724
53,0.06936204295676918,0.17958347452988327
54,0.06865837307602551,0.1517843151763683
55,0.07006196621881533,0.17893506935021142
56,0.06744071425550535,0.18922582289473944
57,0.07012736659815721,0.24688318371134632
58,0.07304954325101187,0.29104863230518585
59,0.06973021026398252,0.2150689794810332
60,0.06661825056343518,0.23419980070035085
61,0.06890518136564205,0.20236941355715515
62,0.0651087068915388,0.20108817728351835
63,0.06949760545802719,0.2810100728499316
64,0.06627375803552749,0.32132197588221756
65,0.06614952994185264,0.2783427455866623
66,0.06734225740981126,0.20004030798599565
67,0.07108281458087728,0.17977554308209814
68,0.06712828055620412,0.19436617122766614
69,0.06833673899184478,0.24501308234198238
70,0.06919325693061196,0.21400421882539739
71,0.06701647467338567,0.27920763750591504
72,0.06713830180570635,0.21366995411768697
73,0.06819637131117706,0.14528621280809262
74,0.06612608171971357,0.22623906058389853
75,0.06667467126573601,0.19882401637670766
76,0.07078123144608894,0.1751804004834593
77,0.06847359634322503,0.3111307032049574
78,0.06507613066665496,0.18823967199772873
79,0.07052886070483932,0.26299436226931805
80,0.06657568898077493,0.1960095640196095
81,0.070520318234887025,0.2204159569901435
82,0.06622322425209415,0.1559645484361103
83,0.0704527314558423,0.27632143166208056
84,0.06523510602058424,0.13135075662546497
85,0.063871682218407555,0.20545806445039405
86,0.06739019685228831,0.1944442307392794
87,0.07075857994671808,0.22950729566452932
88,0.06755513996640916,0.20354329759529927
89,0.07011009929236955,0.12219923117180653
90,0.07014327127767417,0.3028502205270457
91,0.06454632766968915,0.16579404603972764
92,0.07128390961707032,0.18309514747210248
93,0.06746966650253494,0.2362571591607434
94,0.06116206552864134,0.22619504135070134
95,0.06859701682505603,0.31061571298097834
96,0.0634065168460538,0.1264541380399521
97,0.06734494017097314,0.3093582527287302
98,0.06269823651058393,0.2118514523358762
99,0.06883116849738657,0.2047512398585637
100,0.06795901956219352,0.21770758101441512
101,0.06620751953770809,0.1999023866040076
102,0.06782603250126495,0.22358494870246926
103,0.06622713759895715,0.18860476359023925
104,0.0703258423006452,0.34027387728371583
105,0.06712689956510465,0.12911474490928754
106,0.07035239308351926,0.31025903445011416
107,0.06550518645635539,0.17367982216261613
108,0.06497096316319118,0.14689502250705805
109,0.06618704241406426,0.2709145091990417
110,0.06952621195991715,0.26947826763203775
111,0.07104781313164121,0.18151075013411438
112,0.06883842394455075,0.1828106082723558
113,0.06566474356442065,0.151676508877359
114,0.06450231854926258,0.1634485546331249
115,0.06992320446644795,0.2392405608392777
116,0.06411747761528996,0.16497998190672047
117,0.07084576340754833,0.14837801320498684
118,0.06948011910346441,0.2921676528318552
119,0.07073504796968888,0.20853845403334687
120,0.06634095609366275,0.22130554275305492
121,0.06367727803523193,0.2418897552488174
122,0.06379927532707907,0.16634936864485433
123,0.07353663673288313,0.20536265304609574
124,0.06510137604383903,0.22357780779092012
125,0.06717934918831059,0.259343743900566
126,0.0633238076989926,0.2944795767075473
127,0.0633424988842537,0.2187172641299806
128,0.06670483058752819,0.15890349185280261
129,0.06937420224094004,0.20341362879348346
130,0.0679280030414875,0.15848448181549518
131,0.06838053255140197,0.1512634852368661
132,0.07356004566500784,0.17651397558934712
133,0.07464089176131905,0.17933814084666294
134,0.06409263257378983,0.133776195500449
135,0.06963367752076688,0.11414134170117113
136,0.0673054383760423,0.14164927780336684
137,0.06969490356627328,0.15113915271062545
138,0.06405397301417115,0.17944598697602315
139,0.06880543560043817,0.22515993607550433
140,0.07028786597020997,0.3758147951785259
141,0.0689614203780935,0.228554620178957
142,0.06436250007772815,0.14958443464937266
143,0.06563999270210119,0.16786608937698239
144,0.06547285926634072,0.2409013428423612
145,0.06714738208976945,0.12306519891340123
146,0.0628680146151197,0.16947171605033057
147,0.0644578356468144,0.21361599426469957
148,0.06592409789786546,0.1694664141061965
149,0.06859227703662074,0.1501879834185718
150,0.06903220706052049,0.18577100342092306
151,0.06865292342200124,0.21722905405974552
152,0.06835757297219414,0.23252424634191077
153,0.06598602145842447,0.20947606100188232
154,0.0710183216519229,0.15727580883687092
155,0.06535926388228952,0.18163537839816768
156,0.07034679241228092,0.1858524558827816
157,0.06841719941027047,0.13179618285994316
158,0.06527753393328006,0.23527734938784195
159,0.06536243402016084,0.15501175968493708
160,0.06924255799887225,0.18891826189151317
161,0.06204431807526478,0.222748959928468
162,0.062220904003561284,0.1577042414616135
163,0.07232603140467941,0.15011188124473152
164,0.0722284296589164,0.23154344816998784
165,0.06710166032651688,0.3159764809092751
166,0.06854802763726231,0.2281363519561167
167,0.06824781911958078,0.19525656926114476
168,0.06736653379267166,0.3214541593782442
169,0.07396090942327627,0.15762679889455083
170,0.0721575195148878,0.25158416398726446
171,0.06951273713511075,0.25903033150864285
172,0.07098062586378995,0.3397911312130736
173,0.07071042800105065,0.13721556333380297
174,0.06835148213725861,0.36649699026206894
175,0.06977140505032842,0.36664799525057434
176,0.06546406716266828,0.23930899774717673
177,0.06846019602287123,0.34032805092006446
178,0.06761427825842081,0.1277161273327384
179,0.07257516684600218,0.2107208902698693
180,0.0678674985279546,0.18078145800650092
181,0.06786999673386784,0.20651221486202648
182,0.06445897718689753,0.1869728727578715
183,0.06460353300756894,0.2446971160023086
184,0.06439201925024962,0.06419998315721515
185,0.06764233557218469,0.13566721227925965
186,0.06662821958044374,0.2075768937238197
187,0.0717703221408752,0.18608748661532026
188,0.06603652560569673,0.15507666619290006
189,0.07269142532516981,0.23702758339100238
190,0.06746499760053326,0.23395576233684034
191,0.06758859799123296,0.26187670493276116
192,0.06456275281644053,0.18925065801937707
193,0.07121892540877783,0.163222396681113
