nrepeat,prevalence,pop_auroc,roc_est,roc_est_lower,roc_est_upper,pr_est,pr_est_lower,pr_est_upper
1,0.01,0.65,0.6499114269262626,0.6328407366161615,0.6669230164141413,0.019262439681846148,0.017193506630679808,0.021871909967527393
1,0.01,0.75,0.7500167232181818,0.7349727954545455,0.7648053689393938,0.03914008175957304,0.03339849712463838,0.04621710424712905
1,0.01,0.85,0.8500171749626263,0.8380197047979797,0.8614656747474748,0.10881982611267656,0.09242362969764563,0.12736386677086675
1,0.01,0.95,0.9500174224444445,0.9437327022727274,0.9559650699494955,0.40289536049431907,0.37163319072881995,0.4333986842302733
1,0.05,0.65,0.6500161812482105,0.6423395756842105,0.6575754502105264,0.09103117599986703,0.08709291612071932,0.09530525738187431
1,0.05,0.75,0.7499665833172632,0.7429944081578949,0.7568050246842106,0.16228015683891392,0.15422000607857078,0.17067234018957544
1,0.05,0.85,0.8499849579606316,0.8445260692105264,0.8553995502631578,0.3224007078243853,0.30949312125577855,0.3353299579662589
1,0.05,0.95,0.9499937567781054,0.9471689883157894,0.9527591998421052,0.6621282834823924,0.6499759551258905,0.6742625729459724
1,0.1,0.65,0.6499989167048889,0.6443602403333334,0.6555553586388889,0.17242143358286438,0.1676636067525318,0.1772432614968662
1,0.1,0.75,0.7500277245748889,0.7450941728611111,0.7548976933333335,0.27807084353246425,0.27033794144148926,0.2859357825620816
1,0.1,0.85,0.8500165519854445,0.8461063608888889,0.8539199539722223,0.46475997146232284,0.4553959400463127,0.4742526246327952
1,0.1,0.95,0.9500006228622223,0.9479613089722224,0.9519787094722223,0.7670237683698812,0.7598999824043892,0.7738488259990625
1,0.2,0.65,0.65000971545,0.64575314015625,0.6542719670625,0.31463820184130753,0.3096360791511322,0.31978873908046174
1,0.2,0.75,0.74998751518425,0.746271114015625,0.7536929582031251,0.44587151751576853,0.4394405565102555,0.4522264295585591
1,0.2,0.85,0.84999675717425,0.84705755421875,0.852937213796875,0.6272030263148078,0.6208511862389358,0.6335727237807383
1,0.2,0.95,0.9499996920945626,0.948486020390625,0.9515180573593751,0.8578883072095715,0.8540216657302129,0.8617451674249862
1,0.3,0.65,0.6500250587448572,0.6463026116666667,0.6537535939880953,0.43635453696466375,0.43157302421452953,0.4411301821538416
1,0.3,0.75,0.7500155742396191,0.7467007555,0.7532312751666668,0.5679359965314498,0.5627597429062351,0.5731659485419801
1,0.3,0.85,0.8499840792480953,0.8473833388928571,0.8524859633809524,0.7258685475556422,0.7212669926204248,0.7304499010809495
1,0.3,0.95,0.9499959795067618,0.9486617365000001,0.9513178337023809,0.9029501428061453,0.9004506519940657,0.9054199722546034
1,0.4,0.65,0.6499851441964166,0.64646755428125,0.6534027539583332,0.5429891143161631,0.5387196825299101,0.5471836343239646
1,0.4,0.75,0.7499883217012083,0.7469134202187501,0.7530179196979166,0.6636472056065336,0.6593687088141396,0.6679375691480123
1,0.4,0.85,0.8500127729861667,0.8476259879062501,0.8523959519583333,0.7953042795025396,0.7918134445093404,0.7987777527459557
1,0.4,0.95,0.9500024231388751,0.9487292120520834,0.9512236664791667,0.9310719023658468,0.9292464342333597,0.932832139847462
1,0.5,0.65,0.64997090453872,0.64666671431,0.6533783530899999,0.637941262205424,0.6341840673395547,0.6417177642833619
1,0.5,0.75,0.75001636428084,0.74711868553,0.75296579213,0.7421465339342925,0.7387369632945594,0.745728395296278
1,0.5,0.85,0.84999728829032,0.8476925209,0.8522733815000001,0.8479554983404138,0.8452885634510056,0.8505727713374046
1,0.5,0.95,0.949996430304,0.9487611017900001,0.9511932133100001,0.9506734301416181,0.9493197208618966,0.951974435455848
