sim,auroc,auprc
148,0.644856811,0.16942746
149,0.640885887,0.165377358
150,0.650608077,0.165232977
151,0.640790754,0.16443932
152,0.648436409,0.171276993
153,0.647329412,0.171573305
154,0.643985781,0.168930271
155,0.643787066,0.166429887
156,0.647151737,0.169803255
157,0.651629497,0.171080582
158,0.649353367,0.168869721
159,0.643198111,0.161202241
160,0.645763722,0.166931978
161,0.63894043,0.164265254
162,0.643187514,0.161758343
163,0.644029698,0.162982207
164,0.642389562,0.161507289
165,0.646717059,0.165106137
166,0.640296359,0.164185805
167,0.648010076,0.166393876
168,0.647924253,0.163817329
169,0.649514474,0.168064248
170,0.644537132,0.164078283
171,0.646464253,0.16768274
172,0.647512785,0.165555749
173,0.652580818,0.168594371
174,0.645966006,0.167566105
175,0.645119957,0.165609232
176,0.640829089,0.164074984
177,0.642178529,0.162143774
178,0.649287159,0.167038786
179,0.645956016,0.165727885
180,0.646949921,0.169820571
181,0.645222223,0.166290151
182,0.648763061,0.164252529
183,0.640689501,0.164447263
184,0.648446105,0.164788768
185,0.647014573,0.168548597
186,0.645083498,0.172262472
187,0.64953931,0.160293518
188,0.641259903,0.16068965
189,0.643389397,0.166467664
190,0.640492059,0.164034151
191,0.642223782,0.162212109
192,0.643895428,0.165283088
193,0.643817115,0.166316306
194,0.643738952,0.171429814
195,0.648056585,0.16408848
196,0.646428049,0.16322459
197,0.647789204,0.166195125
198,0.644263419,0.163121871
199,0.644935716,0.167402179
200,0.648309601,0.167737703
201,0.650006854,0.171383652
202,0.642319468,0.164123619
203,0.641687418,0.162363259
204,0.640742272,0.163460021
205,0.652183154,0.167442237
206,0.638144865,0.160321592
207,0.645160548,0.166849425
208,0.639955745,0.158256856
209,0.644839861,0.1636008
210,0.64734019,0.167260299
211,0.642584547,0.169330848
212,0.647443406,0.172330567
213,0.643822237,0.163814167
214,0.649046358,0.166582407
215,0.63819613,0.1639924
216,0.64144109,0.161549258
217,0.649845083,0.165266758
218,0.648183462,0.16869018
219,0.640279936,0.16217409
220,0.641610578,0.16034011
221,0.65244706,0.169784623
222,0.652185885,0.169499784
223,0.64476627,0.166811531
224,0.647404819,0.167977674
225,0.644823698,0.165427562
226,0.648619053,0.167469564
227,0.643263095,0.168541907
228,0.647860432,0.167650509
229,0.644604222,0.160710414
230,0.648366052,0.165605156
231,0.642478189,0.168762421
232,0.640965655,0.16525123
233,0.652866917,0.172880216
234,0.642099204,0.164189598
235,0.644723276,0.161458671
236,0.648890593,0.166042474
237,0.640538748,0.161389064
238,0.643154882,0.163525609
239,0.640907887,0.1639135
240,0.651550634,0.169246944
241,0.642945522,0.168904454
242,0.645180217,0.167122761
243,0.645598352,0.164945309
244,0.650832313,0.17129265
245,0.648107233,0.1642165
246,0.63925545,0.161633584
247,0.652929395,0.176474036
248,0.649162973,0.16762198
