prevalence,pop_auroc,auprc
0.01,0.51065,0.010349643
0.01,0.5107,0.010351347
0.01,0.51075,0.010353051
0.01,0.5108,0.010354756
0.01,0.51085,0.010356462
0.01,0.5109,0.010358168
0.01,0.51095,0.010359875
0.01,0.511,0.010361582
0.01,0.51105,0.01036329
0.01,0.5111,0.010364999
0.01,0.51115,0.010366708
0.01,0.5112,0.010368418
0.01,0.51125,0.010370128
0.01,0.5113,0.010371839
0.01,0.51135,0.010373551
0.01,0.5114,0.010375263
0.01,0.51145,0.010376976
0.01,0.5115,0.010378689
0.01,0.51155,0.010380403
0.01,0.5116,0.010382118
0.01,0.51165,0.010383833
0.01,0.5117,0.010385549
0.01,0.51175,0.010387265
0.01,0.5118,0.010388982
0.01,0.51185,0.0103907
0.01,0.5119,0.010392418
0.01,0.51195,0.010394137
0.01,0.512,0.010395857
0.01,0.51205,0.010397577
0.01,0.5121,0.010399297
0.01,0.51215,0.010401019
0.01,0.5122,0.010402741
0.01,0.51225,0.010404463
0.01,0.5123,0.010406186
0.01,0.51235,0.01040791
0.01,0.5124,0.010409634
0.01,0.51245,0.010411359
0.01,0.5125,0.010413085
0.01,0.51255,0.010414811
0.01,0.5126,0.010416538
0.01,0.51265,0.010418265
0.01,0.5127,0.010419993
0.01,0.51275,0.010421722
0.01,0.5128,0.010423451
0.01,0.51285,0.010425181
0.01,0.5129,0.010426912
0.01,0.51295,0.010428643
0.01,0.513,0.010430374
0.01,0.51305,0.010432107
0.01,0.5131,0.01043384
0.01,0.51315,0.010435573
0.01,0.5132,0.010437307
0.01,0.51325,0.010439042
0.01,0.5133,0.010440777
0.01,0.51335,0.010442513
0.01,0.5134,0.01044425
0.01,0.51345,0.010445987
0.01,0.5135,0.010447725
0.01,0.51355,0.010449463
0.01,0.5136,0.010451203
0.01,0.51365,0.010452942
0.01,0.5137,0.010454683
0.01,0.51375,0.010456423
0.01,0.5138,0.010458165
0.01,0.51385,0.010459907
0.01,0.5139,0.01046165
0.01,0.51395,0.010463393
0.01,0.514,0.010465137
0.01,0.51405,0.010466882
0.01,0.5141,0.010468627
0.01,0.51415,0.010470373
0.01,0.5142,0.01047212
0.01,0.51425,0.010473867
0.01,0.5143,0.010475614
0.01,0.51435,0.010477363
0.01,0.5144,0.010479112
0.01,0.51445,0.010480861
0.01,0.5145,0.010482612
0.01,0.51455,0.010484362
0.01,0.5146,0.010486114
0.01,0.51465,0.010487866
0.01,0.5147,0.010489619
0.01,0.51475,0.010491372
0.01,0.5148,0.010493126
0.01,0.51485,0.01049488
0.01,0.5149,0.010496636
0.01,0.51495,0.010498392
0.01,0.515,0.010500148
0.01,0.51505,0.010501905
0.01,0.5151,0.010503663
0.01,0.51515,0.010505421
0.01,0.5152,0.01050718
0.01,0.51525,0.01050894
0.01,0.5153,0.0105107
0.01,0.51535,0.010512461
0.01,0.5154,0.010514222
0.01,0.51545,0.010515984
0.01,0.5155,0.010517747
0.01,0.51555,0.01051951
0.01,0.5156,0.010521274
0.01,0.51565,0.010523039
0.01,0.5157,0.010524804
0.01,0.51575,0.01052657
0.01,0.5158,0.010528336
0.01,0.51585,0.010530103
0.01,0.5159,0.010531871
0.01,0.51595,0.010533639
0.01,0.516,0.010535408
0.01,0.51605,0.010537178
0.01,0.5161,0.010538948
0.01,0.51615,0.010540719
0.01,0.5162,0.010542491
0.01,0.51625,0.010544263
0.01,0.5163,0.010546036
0.01,0.51635,0.010547809
0.01,0.5164,0.010549583
0.01,0.51645,0.010551358
0.01,0.5165,0.010553133
0.01,0.51655,0.010554909
0.01,0.5166,0.010556686
0.01,0.51665,0.010558463
0.01,0.5167,0.010560241
0.01,0.51675,0.010562019
0.01,0.5168,0.010563798
0.01,0.51685,0.010565578
0.01,0.5169,0.010567358
0.01,0.51695,0.010569139
0.01,0.517,0.010570921
0.01,0.51705,0.010572703
0.01,0.5171,0.010574486
0.01,0.51715,0.01057627
0.01,0.5172,0.010578054
0.01,0.51725,0.010579839
0.01,0.5173,0.010581624
0.01,0.51735,0.01058341
0.01,0.5174,0.010585197
0.01,0.51745,0.010586985
0.01,0.5175,0.010588773
0.01,0.51755,0.010590561
0.01,0.5176,0.010592351
0.01,0.51765,0.010594141
0.01,0.5177,0.010595931
0.01,0.51775,0.010597722
0.01,0.5178,0.010599514
0.01,0.51785,0.010601307
0.01,0.5179,0.0106031
0.01,0.51795,0.010604894
0.01,0.518,0.010606688
0.01,0.51805,0.010608483
0.01,0.5181,0.010610279
0.01,0.51815,0.010612075
0.01,0.5182,0.010613872
0.01,0.51825,0.01061567
0.01,0.5183,0.010617468
0.01,0.51835,0.010619267
0.01,0.5184,0.010621067
0.01,0.51845,0.010622867
0.01,0.5185,0.010624668
0.01,0.51855,0.010626469
0.01,0.5186,0.010628272
0.01,0.51865,0.010630074
0.01,0.5187,0.010631878
0.01,0.51875,0.010633682
0.01,0.5188,0.010635487
0.01,0.51885,0.010637292
0.01,0.5189,0.010639098
0.01,0.51895,0.010640905
0.01,0.519,0.010642712
0.01,0.51905,0.01064452
0.01,0.5191,0.010646329
0.01,0.51915,0.010648138
0.01,0.5192,0.010649948
0.01,0.51925,0.010651759
0.01,0.5193,0.01065357
0.01,0.51935,0.010655382
0.01,0.5194,0.010657194
0.01,0.51945,0.010659007
0.01,0.5195,0.010660821
0.01,0.51955,0.010662636
0.01,0.5196,0.010664451
0.01,0.51965,0.010666267
0.01,0.5197,0.010668083
0.01,0.51975,0.0106699
0.01,0.5198,0.010671718
0.01,0.51985,0.010673536
0.01,0.5199,0.010675355
0.01,0.51995,0.010677175
0.01,0.52,0.010678995
0.01,0.52005,0.010680816
0.01,0.5201,0.010682638
0.01,0.52015,0.01068446
0.01,0.5202,0.010686283
0.01,0.52025,0.010688107
0.01,0.5203,0.010689931
0.01,0.52035,0.010691756
0.01,0.5204,0.010693582
0.01,0.52045,0.010695408
0.01,0.5205,0.010697235
0.01,0.52055,0.010699062
0.01,0.5206,0.010700891
0.01,0.52065,0.010702719
0.01,0.5207,0.010704549
0.01,0.52075,0.010706379
0.01,0.5208,0.01070821
0.01,0.52085,0.010710041
0.01,0.5209,0.010711874
0.01,0.52095,0.010713706
0.01,0.521,0.01071554
0.01,0.52105,0.010717374
0.01,0.5211,0.010719209
0.01,0.52115,0.010721044
0.01,0.5212,0.010722881
0.01,0.52125,0.010724717
0.01,0.5213,0.010726555
0.01,0.52135,0.010728393
0.01,0.5214,0.010730232
0.01,0.52145,0.010732071
0.01,0.5215,0.010733911
0.01,0.52155,0.010735752
0.01,0.5216,0.010737593
0.01,0.52165,0.010739435
0.01,0.5217,0.010741278
0.01,0.52175,0.010743122
0.01,0.5218,0.010744966
0.01,0.52185,0.01074681
0.01,0.5219,0.010748656
0.01,0.52195,0.010750502
0.01,0.522,0.010752349
0.01,0.52205,0.010754196
0.01,0.5221,0.010756044
0.01,0.52215,0.010757893
0.01,0.5222,0.010759742
0.01,0.52225,0.010761592
0.01,0.5223,0.010763443
0.01,0.52235,0.010765295
0.01,0.5224,0.010767147
0.01,0.52245,0.010768999
0.01,0.5225,0.010770853
0.01,0.52255,0.010772707
0.01,0.5226,0.010774562
0.01,0.52265,0.010776417
0.01,0.5227,0.010778273
0.01,0.52275,0.01078013
0.01,0.5228,0.010781987
0.01,0.52285,0.010783846
0.01,0.5229,0.010785704
0.01,0.52295,0.010787564
0.01,0.523,0.010789424
0.01,0.52305,0.010791285
0.01,0.5231,0.010793146
0.01,0.52315,0.010795008
0.01,0.5232,0.010796871
0.01,0.52325,0.010798735
0.01,0.5233,0.010800599
0.01,0.52335,0.010802464
0.01,0.5234,0.010804329
0.01,0.52345,0.010806195
0.01,0.5235,0.010808062
0.01,0.52355,0.01080993
0.01,0.5236,0.010811798
0.01,0.52365,0.010813667
0.01,0.5237,0.010815537
0.01,0.52375,0.010817407
0.01,0.5238,0.010819278
0.01,0.52385,0.010821149
0.01,0.5239,0.010823022
0.01,0.52395,0.010824895
0.01,0.524,0.010826768
0.01,0.52405,0.010828642
0.01,0.5241,0.010830517
0.01,0.52415,0.010832393
0.01,0.5242,0.01083427
0.01,0.52425,0.010836147
0.01,0.5243,0.010838024
0.01,0.52435,0.010839903
0.01,0.5244,0.010841782
0.01,0.52445,0.010843661
0.01,0.5245,0.010845542
0.01,0.52455,0.010847423
0.01,0.5246,0.010849305
0.01,0.52465,0.010851187
0.01,0.5247,0.010853071
0.01,0.52475,0.010854954
0.01,0.5248,0.010856839
0.01,0.52485,0.010858724
0.01,0.5249,0.01086061
0.01,0.52495,0.010862497
0.01,0.525,0.010864384
0.01,0.52505,0.010866272
0.01,0.5251,0.01086816
0.01,0.52515,0.01087005
0.01,0.5252,0.01087194
0.01,0.52525,0.01087383
0.01,0.5253,0.010875722
0.01,0.52535,0.010877614
0.01,0.5254,0.010879507
0.01,0.52545,0.0108814
0.01,0.5255,0.010883294
0.01,0.52555,0.010885189
0.01,0.5256,0.010887085
0.01,0.52565,0.010888981
0.01,0.5257,0.010890878
0.01,0.52575,0.010892775
0.01,0.5258,0.010894674
0.01,0.52585,0.010896573
0.01,0.5259,0.010898472
0.01,0.52595,0.010900373
0.01,0.526,0.010902274
0.01,0.52605,0.010904175
0.01,0.5261,0.010906078
0.01,0.52615,0.010907981
0.01,0.5262,0.010909885
0.01,0.52625,0.010911789
0.01,0.5263,0.010913694
0.01,0.52635,0.0109156
0.01,0.5264,0.010917507
0.01,0.52645,0.010919414
0.01,0.5265,0.010921322
0.01,0.52655,0.010923231
0.01,0.5266,0.01092514
0.01,0.52665,0.01092705
0.01,0.5267,0.010928961
0.01,0.52675,0.010930872
0.01,0.5268,0.010932784
0.01,0.52685,0.010934697
0.01,0.5269,0.010936611
0.01,0.52695,0.010938525
0.01,0.527,0.01094044
0.01,0.52705,0.010942355
0.01,0.5271,0.010944272
0.01,0.52715,0.010946189
0.01,0.5272,0.010948107
0.01,0.52725,0.010950025
0.01,0.5273,0.010951944
0.01,0.52735,0.010953864
0.01,0.5274,0.010955784
0.01,0.52745,0.010957706
0.01,0.5275,0.010959628
0.01,0.52755,0.01096155
0.01,0.5276,0.010963473
0.01,0.52765,0.010965397
0.01,0.5277,0.010967322
0.01,0.52775,0.010969248
0.01,0.5278,0.010971174
0.01,0.52785,0.010973101
0.01,0.5279,0.010975028
0.01,0.52795,0.010976956
0.01,0.528,0.010978885
0.01,0.52805,0.010980815
0.01,0.5281,0.010982745
0.01,0.52815,0.010984676
0.01,0.5282,0.010986608
0.01,0.52825,0.010988541
0.01,0.5283,0.010990474
0.01,0.52835,0.010992408
0.01,0.5284,0.010994342
0.01,0.52845,0.010996278
0.01,0.5285,0.010998214
0.01,0.52855,0.01100015
0.01,0.5286,0.011002088
0.01,0.52865,0.011004026
0.01,0.5287,0.011005965
0.01,0.52875,0.011007904
0.01,0.5288,0.011009844
0.01,0.52885,0.011011785
0.01,0.5289,0.011013727
0.01,0.52895,0.01101567
0.01,0.529,0.011017613
0.01,0.52905,0.011019556
0.01,0.5291,0.011021501
0.01,0.52915,0.011023446
0.01,0.5292,0.011025392
0.01,0.52925,0.011027339
0.01,0.5293,0.011029286
0.01,0.52935,0.011031234
0.01,0.5294,0.011033183
0.01,0.52945,0.011035133
0.01,0.5295,0.011037083
0.01,0.52955,0.011039034
0.01,0.5296,0.011040985
0.01,0.52965,0.011042938
0.01,0.5297,0.011044891
0.01,0.52975,0.011046845
0.01,0.5298,0.011048799
0.01,0.52985,0.011050754
0.01,0.5299,0.01105271
0.01,0.52995,0.011054667
0.01,0.53,0.011056624
0.01,0.53005,0.011058583
0.01,0.5301,0.011060541
0.01,0.53015,0.011062501
0.01,0.5302,0.011064461
0.01,0.53025,0.011066422
0.01,0.5303,0.011068384
0.01,0.53035,0.011070346
0.01,0.5304,0.011072309
0.01,0.53045,0.011074273
0.01,0.5305,0.011076238
0.01,0.53055,0.011078203
0.01,0.5306,0.011080169
0.01,0.53065,0.011082136
0.01,0.5307,0.011084103
0.01,0.53075,0.011086072
0.01,0.5308,0.01108804
0.01,0.53085,0.01109001
0.01,0.5309,0.01109198
0.01,0.53095,0.011093952
0.01,0.531,0.011095923
0.01,0.53105,0.011097896
0.01,0.5311,0.011099869
