iter,top_agree,roc_params,roc_est,roc_roc,roc_prc,prc_params,prc_est,prc_roc,prc_prc
31,TRUE,"0.05, 66",0.6330015298623124,0.6280183019820235,0.15246826058369478,"0.05, 66",0.15984474189616923,0.6280183019820235,0.15246826058369478
32,FALSE,"0.02, 142",0.6410375110968447,0.629124175820037,0.15447886325073798,"0.07, 54",0.15620178983981578,0.6277377693194554,0.15301961215972176
33,TRUE,"0.08, 91",0.6081332680058795,0.6228333249982433,0.14938713900518857,"0.08, 91",0.13874406800165118,0.6228333249982433,0.14938713900518857
34,FALSE,"0.03, 124",0.6314620225729285,0.6259918297101827,0.1524481147255563,"0.23, 107",0.14396788215191628,0.5965288938124316,0.13809928643031563
35,FALSE,"0.07, 85",0.6251470329353775,0.6279334730080911,0.15414169920712903,"0.07, 83",0.14864361020675762,0.6278699793298774,0.15231160745287742
36,TRUE,"0.06, 83",0.6521783039526443,0.6230063754212056,0.1489225971900016,"0.06, 83",0.18471615535711178,0.6230063754212056,0.1489225971900016
37,TRUE,"0.04, 99",0.6189182973532382,0.6292799661550798,0.15901926797630875,"0.04, 99",0.16020525994513826,0.6292799661550798,0.15901926797630875
38,TRUE,"0.11, 38",0.6031697147256747,0.6250242701492138,0.15516666835324835,"0.11, 38",0.1356867715671141,0.6250242701492138,0.15516666835324835
39,FALSE,"0.03, 130",0.6315301622853943,0.6314787102115225,0.1510431725413194,"0.21, 96",0.1520508677853892,0.6093371768238208,0.14211344038228632
40,TRUE,"0.07, 112",0.6109648561277726,0.6161691748513417,0.1540905875515226,"0.07, 112",0.14769341642274814,0.6161691748513417,0.1540905875515226
41,TRUE,"0.03, 121",0.6340929316361528,0.6276013828504784,0.15127836423717234,"0.03, 121",0.13889090410634292,0.6276013828504784,0.15127836423717234
42,TRUE,"0.02, 83",0.6531687148156665,0.6195273647411449,0.15568581380263008,"0.02, 83",0.18148407046323237,0.6195273647411449,0.15568581380263008
43,TRUE,"0.1, 94",0.6575083242508174,0.627681060372247,0.15019316679022957,"0.1, 94",0.18156422775416947,0.627681060372247,0.15019316679022957
44,TRUE,"0.17, 31",0.6422177004069634,0.6132481117574498,0.14235860137425901,"0.17, 31",0.1682794814694091,0.6132481117574498,0.14235860137425901
45,TRUE,"0.04, 57",0.6434565889069984,0.6295630524629948,0.15149791978539806,"0.04, 57",0.15895300939034282,0.6295630524629948,0.15149791978539806
